,step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
206,207,1690048,13248,0.004071696439859,0.9375,0.9375,,,,,
207,208,1699328,13312,0.0049452497674984,0.90625,0.90625,,,,,
208,209,1705536,13376,0.0089293737287001,0.875,0.875,0.0068449632618343,0.90625,0.90625,,
209,210,1713280,13440,0.0075778277280032,0.8125,0.8125,,,,,
210,211,1720512,13504,0.0079100458549,0.890625,0.890625,,,,,
211,212,1726208,13568,0.0092176628197694,0.921875,0.921875,,,,,
212,213,1733952,13632,0.0069501900685847,0.84375,0.84375,,,,,
213,214,1745280,13696,0.0049172960058954,0.875,0.875,,,,,
214,215,1750976,13760,0.0076881629417306,0.921875,0.921875,,,,,
215,216,1756672,13824,0.0096518132385086,0.875,0.875,,,,,
216,217,1762880,13888,0.0094156982607412,0.8125,0.8125,0.0031726381260898,0.953125,0.953125,,
217,218,1768576,13952,0.0081242389892572,0.953125,0.953125,,,,,
218,219,1775808,14016,0.0093217220452195,0.828125,0.828125,,,,,
219,220,1782016,14080,0.0075108302790321,0.890625,0.890625,,,,,
220,221,1789760,14144,0.0082379199642585,0.78125,0.78125,,,,,
221,222,1802624,14208,0.0054199609388239,0.734375,0.734375,,,,,
222,223,1810368,14272,0.0073705378845604,0.875,0.875,,,,,
223,224,1816064,14336,0.0100673861640136,0.8125,0.8125,,,,,
224,225,1829440,14400,0.0041851585735272,0.859375,0.859375,0.0083759368924501,0.890625,0.890625,,
225,226,1837184,14464,0.0069726141269819,0.875,0.875,,,,,
226,227,1853632,14528,0.0032403562195443,0.859375,0.859375,,,,,
227,228,1859840,14592,0.008046577302463,0.921875,0.921875,,,,,
228,229,1871168,14656,0.0059337165896345,0.796875,0.796875,,,,,
229,230,1876864,14720,0.0094861187519125,0.921875,0.921875,,,,,
230,231,1884096,14784,0.0063524611006662,0.921875,0.921875,,,,,
231,232,1889792,14848,0.009080401867296,0.90625,0.90625,,,,,
232,233,1908288,14912,0.0031743687701785,0.828125,0.828125,0.0086698520993611,0.84375,0.84375,,
233,234,1912960,14976,0.0115651418379549,0.859375,0.859375,,,,,
234,235,1920192,15040,0.0073713801874663,0.890625,0.890625,,,,,
235,236,1932032,15104,0.0050338877768766,0.828125,0.828125,,,,,
236,237,1945408,15168,0.0045996295676009,0.8125,0.8125,,,,,
237,238,1960832,15232,0.0039067764989014,0.890625,0.890625,,,,,
238,239,1966528,15296,0.0080663271778922,0.9375,0.9375,,,,,
239,240,1972224,15360,0.0081194017519998,0.90625,0.90625,,,,,
240,241,1979456,15424,0.0090108863509598,0.828125,0.828125,0.0074614621751443,0.953125,0.953125,,
